lang,STA,SIM,XCOMET,J
am,0.7570686733585086,0.41917152518569745,0.4283759658401077,0.13896854391199512
ar,0.7043535856630465,0.8185032259357217,0.7618014487104678,0.45252343833113456
de,0.8096238221161391,0.7467717514264995,0.7140967885830573,0.44231225280890396
en,0.8440888316626489,0.800541999866119,0.8120637674103764,0.5644688972512767
es,0.8800114214630044,0.5206536098819534,0.5157129684932359,0.25461057356089156
hi,0.7003608849529804,0.5332992858091606,0.5303432106033085,0.22312303998452515
ru,0.7749959574562539,0.7358972261904142,0.7052027645436201,0.41731373540378547
uk,0.7946514624441773,0.8160987958630453,0.755375194600073,0.5057650480760804
zh,0.48454193704501014,0.7856379449930022,0.7167653233285934,0.28313943400204583
